title,author,abstract,keywords,source_file
Selenium-amended biochar mitigates inorganic mercury and methylmercury accumulation in rice (Oryza sativa L.) ☆,"Wenqiang Lv a,1 , Tianli Zhan b,1 , Mahmoud A. Abdelhafiz c,d,e , Xinbin Feng c,f , Bo Meng c,* 
- a School of Geography and Resources, Guizhou Education University, Guiyang, Guizhou, 550018, China
- b Institute of Mountain Resources of Guizhou Province, Guiyang, 550001, China
- c State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang, 550081, China
- d University of Chinese Academy of Sciences, Beijing, 100049, China
- e Geology Department, Faculty of Science, Al-Azhar University, Assiut, 71524, Egypt
- f Center for Excellence in Quaternary Science and Global Change, Chinese Academy of Sciences, Xi ' an, 710061, China","Rice, as a dominant crop in China and Asia, can be a major route of methylmercury (MeHg) exposure for humans in inland China, especially in those living in mercury (Hg) polluted areas. Soil is the most prominent MeHg accumulation source for rice grains. The development of management practices to reduce MeHg in rice grains is crucial. This study explored the mitigation effect of biochar (BC) and sodium selenite-amended biochar (BC + Se) on MeHg production in paddy soil and accumulation in rice. Mercury-contaminated soil was treated with 1% and 5% of both BC and BC + Se. Soil MeHg concentration slightly increased under 1% BC/BC + Se compared to control soil but decreased at the rate of 5%. Moreover, soil phytoavailable MeHg (P -MeHg) diminished as the amount of Se-amended BC increased. BC + Se  effectively  mitigated  MeHg  accumulation  in  rice  grains.  The highest average contents of MeHg and inorganic Hg (IHg) in rice seeds were found in the control samples, followed by the 1%-BC, 5%-BC, 1%-BC + Se, and 5%-BC + Se samples. Under the 5%-BC + Se treatment, rice MeHg levels were reduced significantly (94%) compared to the control, and P -MeHg concentrations in soil were lower than  all  the  other  experimental  groups  throughout  the  rice-growing  season.  These  results  demonstrate  the effectiveness of BC + Se in reducing MeHg and IHg accumulation in rice and could be employed for remediation of Hg polluted paddies.",Biochar; Selenium; Inorganic mercury; Methylmercury; Accumulation; Rice,doc_23_Selenium-amended biochar mitigates inorganic mercury and.md
Effects of sulfur-rich biochar amendment on microbial methylation of mercury in rhizosphere paddy soil and methylmercury accumulation in rice ☆,"Hualing Hu a,b , Beidou Xi a,b,* , Wenbing Tan b
a
School of Environmental Science & Engineering, Tianjin University, Tianjin, 300350, China
b State Key Laboratory of Environmental Criteria and Risk Assessment, Chinese Research Academy of Environmental Sciences, Beijing, 100012, China","Biochar amendment has the potential to reduce methylmercury (MeHg) uptake by rice grains in soil-rice ecosystem. Considering that sulfur can strongly bind Hg and thus reduce its bioavailability, S-modified biochar has been used to immobilize Hg in soils. However, whether natural S-enriched biochar can further reduce Hg and MeHg phytoavailability remains  unknown. Moreover,  the  rhizosphere  is  one  of  the  most  important microbial hotspots regulating the pollutant dynamics in terrestrial ecosystems. Therefore, it is of greater practical significance to examine the impact of biochar amendment on MeHg production and phytoavailability in the rhizosphere versus nonrhizosphere. Here, by conducting a pot experiment, we evaluated the efficacy of biochar derived from sulfur-enriched oilseed rape straw to reduce MeHg accumulation in rice. The results demonstrated that: (1) biochar-induced enhancement of chloride ion and sulfate levels in the overlying water and pore water facilitate microbial methylation of Hg and thus MeHg production in rhizosphere soil. (2) biochar amendment increased rhizosphere soil sulfur content and humic acid-like substances, strengthening MeHg binding to soil, and thus reducing grain MeHg levels by 47% -75%. Our results highlight the necessity to applying natural sulfurrich biochar accompanied with exogenous sulfur to further reduce MeHg phytoavailability.",Biochar; Sulfur; Methylmercury; Phytoavailability; Paddy soil,doc_24_Effects of sulfur-rich biochar amendment on microbial methylation.md
"Phytoremediation of Hg and chlorpyrifos contaminated soils using Phaseolus vulgaris L. with biochar, mycorrhizae, and compost amendments","Alejandra Vargas · Julián E. López · Adriana Jaimes · Juan F. Saldarriaga
A. Vargas · A. Jaimes · J. F. Saldarriaga ( ) Department of Civil and Environmental Engineering, Universidad de los Andes, Carrera 1Este #19A-40, 111711 Bogotá, Colombia
J. E. López
Facultad de Arquitectura e Ingeniería, Institución Universitaria Colegio Mayor de Antioquia, Carrera 78 #65-46, 050034 Medellín, Colombia","Anthropogenic  activities,  encompassing vast agricultural and industrial operations around the world, exert substantial pressure on the environment, culminating  in  profound  ecological  impacts.  These activities exacerbate soil contamination problems with pollutants such as mercury (Hg) and chlorpyrifos (CPF) that are notable for their widespread presence and detrimental effects. The objective of this study is to evaluate the phytoremediation potential of Phaseolus vulgaris L. , augmented with various combinations of biochar, mycorrhizal, and compost amendments, as a  sustainable  alternative  for  the  remediation  of  soils contaminated with Hg and CPF. For this purpose, soil from a mining area with mercury contamination has been taken, to which CPF has been added in different concentrations. Then, previously germinated Phaseolus  vulgaris  L. seedlings  with  an  average  height of  10 cm  were  planted.  Electrical  conductivity,  pH, organic  matter,  CPF,  and  Hg,  as  well  as  seedling growth parameters, have been evaluated to determine the processes of absorption of soil contaminants into the  plant.  A  combination  of  biochar  with  mycorrhiza has been found to be an optimal choice for CPF and Hg remediation. However, all amendments have proven to be efficient in the remediation processes of the tested contaminants.",Mercury; Chlorpyrifos; Phytoremediation; Biochar; Compost; Mycorrhizae,doc_25_Phytoremediation of Hg and chlorpyrifos contaminated.md
Sulfur-modified biochar as a soil amendment to stabilize mercury pollution: An accelerated simulation of long-term aging effects,"Bin Zhao a , David O ' Connor a , Zhengtao Shen a, b , Daniel C.W. Tsang c , J€org Rinklebe d, e , Deyi Hou a, * 
- a School of Environment, Tsinghua University, Beijing, 100084, China
- b Department of Earth and Atmospheric Sciences, University of Alberta, Edmonton, T6G 2E3, Canada
- c Department of Civil and Environmental Engineering, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong, China
- d University of Wuppertal, School of Architecture and Civil Engineering, Institute of Foundation Engineering, Water- and Waste-Management, Laboratory of Soil- and Groundwater-Management, Pauluskirchstraße 7, Wuppertal, 42285, Germany
- e Department of Environment, Energy and Geoinformatics, Sejong University, 98 Gunja-Dong, Seoul, Republic of Korea","The stability of mercury (Hg) contamination in soil environments can change over time. This has implications for agricultural sites under long-term management after in situ treatment involving soil amendments. In this study, rice husk biochar (RHB) and sulfur modi /uniFB01 ed rice husk biochar (SRHB) were synthesized and applied (dosage ¼ 5% dry wt.) to a Hg polluted agricultural soil collected from Guizhou province, Southern China (soil total Hg content ¼ 28.3 mg/kg; C ¼ 2%; and, S ¼ 0.1%). The long-term stabilization effectiveness of the soil treatments was evaluated by a combined approach involving: (i) accelerated aging for 104 simulated years; (ii) soil extraction as a proxy for plant uptake; and, (iii) sequential extraction to identify Hg fractions. The SRHB amendment raised the soil ' s total S content by approximately an order of magnitude (to 0.9%), which remained at a generally constant level throughout the simulation. The initial pH levels for the untreated and treated soils were alkaline and remained between 7.0 and 7.5 for the /uniFB01 rst 50 years of simulated aging, before decreasing as the simulation time increased further. The pH of the SRHB treated soils did not drop below that of untreated soils during the simulation. Soil extraction tests with 0.1 M HCl solution indicated that RHB and SRHB treatments could effectively immobilize the Hg in soil for at least 50 and 75 simulated years, respectively. At simulated year 50, the amount of Hg extracted from RHB and SRHB treated soils was &lt; 200 ng/L and &lt; 100 ng/L, respectively. Thus, showing SRHB to be a particularly promising remedial option. The soil Hg was mostly",Hg contamination; Soil stabilization; Metal bioavailability; Sustainable remediation; Sorption,doc_26_Sulfur-modified biochar as a soil amendment to stabilize mercury.md
Biochar amendment to further reduce methylmercury accumulation in rice grown in selenium-amended paddy soil,"Yongjie Wang a,b , Fei Dang c , Xiangmin Zheng a, ⁎⁎ , Huan Zhong d,e, ⁎
- a Key Laboratory of Geographic Information Science, Ministry of Education, East China Normal University, Shanghai, 200241, PR China
- b Institute of Eco-Chongming, East China Normal University, Shanghai, 200241, PR China
- c Key Laboratory of Soil Environment and Pollution Remediation, Institute of Soil Science, Chinese Academy of Sciences, Nanjing, 210008, PR China
- d State Key Laboratory of Pollution Control and Resources Reuse, School of the Environment, Nanjing University, Nanjing, 210023, PR China
- e Environmental and Life Sciences Program (EnLS), Trent University, Peterborough, Ontario, Canada","Methylmercury (MeHg) accumulation in rice is an emerging food safety issue in China and other countries; however, mitigation methods are scarce. Here, the effects of selenium (Se) and multiple applications of Se and biochar on rice MeHg bioaccumulation were investigated using pot and microcosm experiments. We report that Se amendment was still effective in reducing MeHg levels in paddy soil and rice grain after three years of aging. Biochar amendment (0.5% w/w ) further decreased grain (brown rice) MeHg levels by 82-87%. The grain MeHg level decrease following the combination of Se and biochar amendment could be partly attributed to inhibition of net MeHg production in soil by Se. In addition, biochar decreased not only net MeHg production but also MeHg bioavailability in the soil, which could be due to organosulfur compounds in the biochar. Our findings suggest that multiple applications of Se and biochar could be a novel remediation strategy to mitigate MeHg accumulation in rice.",Biochar; Selenium; Methylmercury; Paddy soil; Rice,doc_27_Biochar amendment to further reduce methylmercury accumulation in rice.md
Use of biochar to reduce mercury accumulation in Oryza sativa L: A trial for sustainable management of historically polluted farmlands,"Yi Man a,b , Bo Wang a,b , Jianxu Wang a,c,* , Michal Slaný d,e , Haiyu Yan a,* , Ping Li a , Ali El-Naggar f , Sabry M. Shaheen g,h,i , J ¨ org Rinklebe g,j , Xinbin Feng a,c
- a State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang 550081, PR China
- b University of Chinese Academy of Sciences, Beijing 100049, PR China
- c CAS Center for Excellence in Quaternary Science and Global Change, Xi ' an, 710061, China
- d Institute of Inorganic Chemistry, Slovak Academy of Sciences, Dúbravsk ´ a cesta 9, 84536 Bratislava, Slovakia
- e Institute of Construction and Architecture, Slovak Academy of Sciences, Dúbravsk ´ a cesta 9, 84503 Bratislava, Slovakia
- f Department of Soil Sciences, Faculty of Agriculture, Ain Shams University, Cairo 11241, Egypt
- g University of Wuppertal, School of Architecture and Civil Engineering, Institute of Foundation Engineering, Water- and Waste-Management, Laboratory of Soil- and
- Groundwater-Management, Pauluskirchstra ß e 7, 42285 Wuppertal, Germany
- h Department of Arid Land Agriculture, Faculty of Meteorology, Environment, and Arid Land Agriculture, King Abdulaziz University, Jeddah 21589, Saudi Arabia
- i Department of Soil and Water Sciences, Faculty of Agriculture, University of Kafrelsheikh, 33516 Kafr El-Sheikh, Egypt
- j University of Sejong, Department of Environment, Energy and Geoinformatics, Guangjin-Gu, Seoul 05006, Republic of Korea","Mitigating the risk of mercury (Hg) contamination in rice soils using environmental friendly amendments is essential to reducing the probable daily intake (PDI) of MeHg via rice consumption. Here, we examined the impacts of different doses (0% (control), 0.6% and 3%) of rice hull-derived biochar (RHB) and mixture of wheatrice straw-derived biochar (RWB) on the fractionation, phytoavailability, and uptake of total (THg) and methyl Hg (MeHg) by rice in Hg-polluted soil (THg = 78.3 mg kg GLYPH&lt;0&gt; 1 ) collected from Wanshan Hg mining area. Both biochars increased rice biomass up to 119% as compared to control. Application of RHB and RWB significantly ( P ≤ 0.05) decreased bioavailable Hg (soluble and exchangeable and specifically-sorbed fractions) concentrations by 55 -71% and 67 -72%, respectively. The addition of RHB significantly decreased MeHg concentrations in the soil. However, RWB (particularly at 3%) increased significantly MeHg concentrations in the soil as compared to the control and RHB treatments, likely due to the increased abundan",Green remediation; Mercury contaminated paddy soils; Renewable materials; Human health; Safe rice production,doc_28_Use of biochar to reduce mercury accumulation in Oryza sativa L.md
Synchronous influence of soil amendments on alkylmercury and methane emissions in mercury-contaminated paddy soil,"Kaikai Fang a , Yan He a,b , Jianming Xu a , Jiachun Shi a,* 
- a Zhejiang Provincial Key Laboratory of Agricultural Resources and Environment, Institute of Soil and Water Resources and Environmental Science, College of
- Environmental and Resource Sciences, Zhejiang University, Hangzhou 310058, China
- b Key Laboratory of Environment Remediation and Ecological Health, Ministry of Education, Hangzhou 310058, China","Mercury (Hg) alkylation and methane (CH4) emissions pose significant global concerns. Paddy soil, due to its long-term anaerobic conditions and abundant organic matter, is hotspots for soil Hg alkylation and CH4  emissions. However, the relevance between Hg alkylation and CH4 emissions, especially their simultaneous reduction strategies, remains poorly understood. Here, we investigated the effects of biochar (BC), selenium (Se) and rice straw (RS) amendments on Hg alkylation and CH4  emissions in paddy soil, and the accumulation of Hg speciation. Results found that both BC and RS amendments significantly increased the levels of soil organic carbon (SOC) and humification index (HIX). Furthermore, BC decreased the concentrations of Hg(II), methylmercury (MeHg) and ethylmercury (EtHg) by 63.1%, 53.6% and 100% in rice grains. However, RS increased Hg(II) concentration but decreased the total Hg (THg), MeHg and EtHg concentrations in rice grains. Compared to the CK, RS significantly increased CH4 emissions, while BC decreased CH4 emissions, and Se showed no significant difference. Se amendment increased the Hg(II) and EtHg concentrations by 20.3% and 17.0% respectively, and decreased the MeHg concentration in grains by 58.3%. Both BC a",Biochar; Hg speciation transformation; Methylmercury; Greenhouse gas emissions; Hg-contaminated paddy soil,doc_29_Synchronous influence of soil amendments on alkylmercury and methane.md
Biochar amendment mitigates the health risks of dietary methylmercury exposure from rice consumption in mercury-contaminated areas,"Yongjie Wang a, b, 1 , Yafei Sun a, 1 , Tianrong He c , Hong Deng b, d , Zhigang Wang a , Jiangtao Wang b , Xiangmin Zheng a , Limin Zhou a, b , Huan Zhong e, f, * - a Key Laboratory of Geographic Information Science, Ministry of Education, School of Geographic Sciences, East China Normal University, Shanghai, 200241, PR China - b Institute of Eco-Chongming, East China Normal University, Shanghai, 200241, PR China - c Key Laboratory of Karst Environment and Geohazard Prevention, Guizhou University, Guiyang, 550003, PR China - d Shanghai Key Lab for Urban Ecological Processes and Eco-Restoration, Technology Innovation Center for Land Spatial Eco-restoration in Metropolitan area, Ministry of Natural Resource, School of Ecological and Environmental Science, East China Normal University, Shanghai, 200241, PR China - e State Key Laboratory of Pollution Control and Resources Reuse, School of the Environment, Nanjing University, Nanjing, 210023, PR China - f Environmental and Life Sciences Program (EnLS), Trent University, Peterborough, Ontario, Canada","The accumulation of methylmercury (MeHg) in rice is an important MeHg exposure pathway in humans in several mercury (Hg)-contaminated areas. In this study, the effects of low-dose biochar (BC) amendment (0.3%, w/w) on MeHg mobility/phytoavailability in different Hg-contaminated paddy soils, MeHg accumulation in rice plants and the health risks associated with MeHg-laden rice consumption were investigated. Soils amended with different doses of bamboo-derived BC (0.3, 0.5, and 1%, w/w) were incubated under anoxic conditions in microcosm experiments. In addition, pot experiments were conducted involving rice cultivation with a low BC application rate (0.3%, w/w). We observed that (1) the fraction of extractable MeHg in soils decreased with BC addition in both the microcosm and pot experiments; (2) MeHg concentrations in the rice grains (brown rice) significantly decreased by 56 e 88% in response to BC amendment, which may be attributed mainly to decreases in MeHg mobility/phytoavailability in the soil; and (3) the hazard quotient (HQ) values for adults and children and fetal intelligence quotient (IQ) decrements associated with MeHg-laden rice consumption were significantly alleviated under BC amendment. Taken together, our findings suggest that a low dose of BC (0.3%, w/w) could have great potential for mitigating the health risks of dietary MeHg exposure from the consumpt",Methylmercury; Paddy soils; Biochar; Health risks,doc_30_Biochar amendment mitigates the health risks of dietary.md
Activated Carbon and Biochar Reduce Mercury Methylation Potentials in Aquatic Sediments,"Derek D. Bussan¹, Ryan F. Sessums¹, James V. Cizdziel¹
¹ Department of Chemistry and Biochemistry, University of Mississippi, University, MS 38677, USA","Much of the toxic methylmercury (MeHg) that biomagnifies in the aquatic food chain and accumulates in fish and seafood is believed to originate from microbial methylation of inorganic Hg²⁺ in anoxic sediments. We examined the effect amending wetland sediments with activated carbon and biochar on Hg methylation potentials using microcosms and Hg stable isotope tracers. The inorganic ²⁰⁰Hg²⁺ spike was methylated at ~0.37 %/day in the untreated sediment, but that rate decreased to ~0.08 %/day for the amended sediments, with 80 % and 88 % reductions in methylation rates for activated carbon and biochar amendments, respectively. Demethylation rates were relatively unchanged. Our key finding is that amending contaminated sediment with activated carbon and biochar decreases bioavailable Hg, and thus may also decrease Hg transfer into food webs. However, further research is needed to evaluate exactly how the sorbents impact Hg methylation rates and for related field studies.",Mercury; Methylmercury; Methylation; Wetland sediment; Activated carbon; Biochar; In situ remediation,doc_31_Activated Carbon and Biochar Reduce Mercury Methylation Potentials in Aquatic Sediments.md
Mercury distribution and speciation in biochar particles reacted with contaminated sediment up to 1030 days: A synchrotron-based study,"Peng Liu a,b , Carol J. Ptacek b, ⁎ , David W. Blowes b , Y. Zou Finfrock c,d
- a School of Environmental Studies, China University of Geosciences (Wuhan), 388 Lumo Road, Wuhan 430000, PR China
- b Department of Earth and Environmental Sciences, University of Waterloo, 200 University Avenue West, Waterloo N2L3G1, Ontario, Canada
- c Science Division, Canadian Light Source, 44 Innovation Bld., Saskatoon S7N2V3, Saskatchewan, Canada
- d CLS@APS Sector 20, Advanced Photon Source, 9700 South Cass Ave., Lemont, IL 60439, United States of America","A previous long-term microcosm experiment showed mercury (Hg) in the aqueous phase of contaminated sediment was effectively stabilized through the addition of biochar. The present study focuses on the application of synchrotron-related methods to evaluate the distribution and speciation of Hg in the biochar particles reacted for 235, 387, and 1030 days. The study provided more information on Hg stabilization mechanisms in addition to the information obtained by the previous studies. Confocal micro-X-ray fluorescence imaging (CMXRFI) and microX-ray fluorescence (micro-XRF) maps show that mercury co-exists with S, Cu, Fe, Mn, and Zn on the surface and inside the particles of biochar. Extended X-ray absorption fine structure (EXAFS) modeling shows that Hg is in an oxide form on the surface of an iron (hydro)oxide particle from fresh sediment and in Hg-sulfide forms in biochar samples. S X-ray absorption near-edge structure (XANES) analyses show that sulfide is present within the biochar particles. After amendment with biochars, a fraction of the Hg originally present in unstable forms (dissolvable, HgO, colloidal, nano, etc.) in the sediment was likely stabilized as less soluble Hg-sulfide phases on the surfa",Mercury;Confocal X-ray microfluorescence imaging;Biochar;Sediment;Synchrotron-based techniques,doc_32_Mercury distribution and speciation in biochar particles reacted with contaminated.md
Biochar amendment reduced methylmercury accumulation in rice plants,"Rui Shu a , Yongjie Wang a , Huan Zhong a , b , ∗
a School of Environment, Nanjing University, State Key Laboratory of Pollution Control and Resource Reuse, Nanjing, Jiangsu Province, People's Republic of China, People's Republic of China b Environmental and Life Sciences Program (EnLS), Trent University, Peterborough, Ontario, Canada","There is growing concern about methylmercury (MeHg) accumulation in rice grains and thus enhanced dietary exposure to MeHg in Asian countries. Here, we explored the possibility of reducing grain MeHg levels by biochar amendment, and the underlying mechanisms. Pot (i.e., rice cultivation in biochar amended soils) and batch experiments (i.e., incubation of amended soils under laboratory conditions) were carried out, to investigate MeHg dynamics (i.e., MeHg production, partitioning and phytoavailability in paddy soils, and MeHg uptake by rice) under biochar amendment (1-4% of soil mass). We demonstrate for the first time that biochar amendment could evidently reduce grain MeHg levels (49-92%).

The declines could be attributed to the combined effects of: (1) increased soil MeHg concentrations, probably explained by the release of sulfate from biochar and thus enhanced microbial production of MeHg (e.g., by sulfate-reducing bacteria), (2) MeHg immobilization in soils, facilitated by the large surface areas and high organosulfur content of biochar, and (3) biodilution of MeHg in rice grains, due to the increased grain biomass under biochar amendment (35-79%). These observations together with mechanistic explanations imp",Biochar; Bioaccumulation; Methylmercury; Rice paddy soil,doc_33_Biochar amendment reduced methylmercury accumulation in rice plants.md
Biochar and nitrate reduce risk of methylmercury in soils under straw amendment,"Yue Zhang a , Yu-Rong Liu b , Pei Lei c , Yong-Jie Wang d , Huan Zhong a,e, ⁎
- a School of the Environment, Nanjing University, State Key Laboratory of Pollution Control and Resources Reuse, Nanjing, Jiangsu Province, China
- b Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China
- c Key Laboratory of Optoelectronic Devices and Systems of Ministry of Education and Guangdong Province, College of Optoelectronic Engineering, Shenzhen University, Shenzhen 518060, China
- d School of Geographic Sciences, East China Normal University, Shanghai 200241, China
- e Environmental and Life Science Program (EnLS), Trent University, Peterborough, Ontario, Canada","There is growing evidence that incorporating crop straw into soils, which is being widely encouraged in many parts of the world, could increase net methylmercury (MeHg) production in soils and MeHg accumulation in crops. We explored the possibility of mitigating the risk of increased MeHg levels under straw amendment by transforming straw into biochar (BC). Greenhouse and batch experiments were conducted, in which soil MeHg concentrations, MeHg phytoavailability and accumulation in rice, dynamics of sulfate, nitrate and abundances of sulfate reducing bacteria (SRB) were compared in ' Control ' (Hg contaminated soil), ' Straw ' (soil with 1% rice straw), ' Straw + BC ' (soil with 1% straw and 1% biochar), and ' Straw + BC + N ' (soil with 1% straw, 1% biochar and 0.12% nitrate). Our results indicate that straw amendment increased MeHg concentrations in soils (28 -136% higher) and rice plants (26% higher in grains, ' Straw ' versus ' Control ' ), while co-application of biochar with straw reduced grain MeHg levels (60% lower, ' Straw + BC ' versus ' Straw ' ). This could be mainly attributed to the reduced MeHg availability to rice plants (phytoavailability, extraction rates of MeHg by ammonium thiosulfate) under biochar amendment (64 -99%lower, ' Straw+BC ' versus ' Straw ' ). However, biochar amendment enhanced soil MeHg levels (5 -75% higher, ' Straw + BC ' versus ' Control ' )",Paddy soil; Methylmercury; Straw return; Bioaccumulation; Rice,doc_34_Biochar and nitrate reduce risk of methylmercury in soils under straw amendment.md
